iter	Passed	Remaining
0	136	136326
1	144	71918
2	147	49087
3	151	37647
4	157	31321
5	160	26655
6	164	23313
7	168	20891
8	170	18822
9	172	17119
10	174	15715
11	176	14569
12	178	13572
13	182	12850
14	184	12098
15	185	11435
16	199	11511
17	201	10997
18	204	10538
19	206	10102
20	208	9713
21	211	9422
22	214	9094
23	216	8810
24	218	8526
25	220	8270
26	222	8031
27	227	7884
28	229	7688
29	231	7500
30	234	7319
31	236	7149
32	239	7022
33	243	6911
34	246	6786
35	248	6665
36	251	6538
37	256	6496
38	259	6401
39	262	6291
40	264	6182
41	269	6154
42	272	6061
43	275	5980
44	277	5892
45	279	5801
46	284	5770
47	286	5683
48	288	5601
49	290	5524
50	292	5449
51	296	5413
52	298	5338
53	300	5272
54	303	5206
55	305	5142
56	307	5079
57	310	5047
58	313	4995
59	315	4936
60	317	4881
61	319	4828
62	321	4776
63	323	4738
64	326	4694
65	328	4645
66	329	4594
67	331	4544
68	333	4496
69	334	4449
70	336	4406
71	340	4391
72	342	4352
73	344	4316
74	347	4282
75	348	4241
76	350	4201
77	352	4172
78	355	4144
79	357	4106
80	358	4069
81	361	4045
82	362	4006
83	364	3979
84	368	3970
85	371	3943
86	374	3925
87	376	3897
88	378	3869
89	380	3844
90	384	3837
91	387	3822
92	389	3802
93	392	3782
94	394	3757
95	399	3758
96	402	3744
97	405	3731
98	408	3713
99	418	3762
100	423	3769
101	471	4148
102	478	4170
103	484	4170
104	514	4385
105	517	4361
106	519	4337
107	527	4358
108	530	4338
109	533	4314
110	536	4294
111	542	4299
112	544	4275
113	569	4426
114	575	4425
115	589	4489
116	591	4461
117	595	4450
118	598	4432
119	607	4451
120	610	4435
121	615	4427
122	624	4452
123	627	4433
124	630	4414
125	637	4423
126	639	4398
127	644	4387
128	646	4367
129	654	4382
130	657	4361
131	661	4348
132	670	4368
133	672	4346
134	677	4341
135	683	4339
136	686	4326
137	689	4305
138	691	4284
139	698	4289
140	701	4272
141	704	4259
142	707	4242
143	711	4229
144	714	4212
145	720	4215
146	723	4198
147	726	4180
148	729	4163
149	734	4160
150	736	4143
151	739	4125
152	742	4111
153	748	4112
154	751	4099
155	755	4085
156	758	4071
157	764	4075
158	768	4066
159	771	4052
160	773	4031
161	778	4027
162	782	4015
163	818	4170
164	820	4152
165	823	4135
166	828	4132
167	831	4116
168	833	4100
169	871	4252
170	877	4256
171	880	4237
172	883	4224
173	886	4208
174	889	4191
175	891	4176
176	894	4159
177	897	4146
178	903	4143
179	926	4220
180	932	4217
181	937	4212
182	939	4195
183	942	4181
184	950	4187
185	964	4219
186	968	4211
187	977	4223
188	980	4206
189	1034	4412
190	1041	4413
191	1044	4397
192	1049	4386
193	1057	4391
194	1059	4375
195	1063	4362
196	1066	4346
197	1074	4351
198	1077	4335
199	1089	4357
200	1093	4348
201	1101	4352
202	1104	4336
203	1123	4383
204	1126	4367
205	1136	4380
206	1152	4415
207	1246	4748
208	1252	4738
209	1256	4726
210	1259	4710
211	1267	4712
212	1278	4724
213	1291	4744
214	1306	4771
215	1315	4775
216	1318	4758
217	1368	4909
218	1371	4890
219	1383	4904
220	1387	4891
221	1399	4906
222	1403	4888
223	1418	4915
224	1447	4986
225	1527	5232
226	1534	5224
227	1543	5226
228	1546	5208
229	1560	5223
230	1562	5202
231	1579	5227
232	1582	5207
233	1592	5212
234	1611	5247
235	1620	5244
236	1625	5232
237	1641	5254
238	1649	5251
239	1653	5235
240	1665	5245
241	1668	5225
242	1671	5206
243	1674	5186
244	1695	5224
245	1711	5246
246	1714	5227
247	1718	5210
248	1720	5190
249	1727	5181
250	1730	5162
251	1733	5144
252	1737	5130
253	1740	5112
254	1743	5094
255	1763	5124
256	1766	5105
257	1771	5094
258	1774	5076
259	1777	5058
260	1780	5041
261	1785	5029
262	1788	5012
263	1791	4994
264	1793	4975
265	1809	4992
266	1811	4973
267	1826	4987
268	1833	4982
269	1836	4965
270	1839	4948
271	1843	4934
272	1847	4918
273	1849	4901
274	1853	4886
275	1856	4869
276	1862	4860
277	1866	4848
278	1869	4831
279	1872	4815
280	1877	4805
281	1882	4793
282	1885	4777
283	1890	4767
284	1895	4754
285	1898	4739
286	1901	4723
287	1908	4717
288	1911	4702
289	1915	4689
290	1921	4680
291	1923	4664
292	1926	4648
293	1929	4633
294	1936	4628
295	1940	4614
296	1943	4599
297	1946	4585
298	1952	4577
299	1955	4561
300	1958	4547
301	1961	4532
302	1965	4522
303	1968	4507
304	1972	4493
305	1974	4479
306	1981	4472
307	1984	4458
308	1987	4444
309	1990	4431
310	1997	4424
311	2000	4410
312	2004	4400
313	2007	4386
314	2014	4379
315	2016	4365
316	2021	4354
317	2028	4349
318	2031	4336
319	2034	4323
320	2037	4309
321	2047	4311
322	2066	4330
323	2069	4317
324	2095	4352
325	2098	4338
326	2105	4332
327	2107	4318
328	2110	4305
329	2114	4292
330	2121	4287
331	2125	4275
332	2129	4264
333	2134	4256
334	2173	4315
335	2176	4301
336	2182	4293
337	2184	4278
338	2187	4265
339	2190	4252
340	2196	4245
341	2206	4245
342	2212	4238
343	2215	4225
344	2223	4220
345	2227	4210
346	2231	4199
347	2234	4187
